person_id_random,date,transaction_type,direction,amount
3620626456,2014-05-29,buy_mpesa_credit,in,2030.0
3620626456,2014-06-04,transfer_from_mshwari,in,20.0
8041467929,2014-10-14,send_money,out,400.0
8041467929,2014-10-14,send_money,out,170.0
8041467929,2014-10-04,send_money,out,1200.0
8041467929,2014-09-22,send_money,out,117.0
8041467929,2014-09-19,send_money,out,217.0
8041467929,2014-08-31,send_money,out,530.0
8041467929,2014-08-31,buy_mpesa_credit,in,550.0
8041467929,2014-08-29,send_money,out,523.0
8041467929,2014-08-29,buy_mpesa_credit,in,550.0
8041467929,2014-08-25,send_money,out,3050.0
8041467929,2014-08-25,buy_mpesa_credit,in,4000.0
8041467929,2014-08-12,send_money,out,500.0
8041467929,2014-08-10,transfer_from_mshwari,in,750.0
8041467929,2014-08-10,transfer_to_mshwari,out,750.0
8041467929,2014-08-06,transfer_from_mshwari,in,1800.0
8041467929,2014-08-06,transfer_to_mshwari,out,1800.0
8041467929,2014-08-05,transfer_from_mshwari,in,1000.0
8041467929,2014-08-05,transfer_to_mshwari,out,1000.0
8041467929,2014-07-31,buy_mpesa_credit,in,50.0
8041467929,2014-07-31,buy_mpesa_credit,in,1000.0
8041467929,2014-10-30,buy_mpesa_credit,in,150.0
8041467929,2014-11-03,send_money,out,200.0
8041467929,2014-11-04,send_money,out,200.0
8041467929,2014-11-06,send_money,out,500.0
8041467929,2014-11-14,send_money,out,750.0
8041467929,2014-11-28,buy_mpesa_credit,in,8000.0
8041467929,2014-11-28,send_money,out,1550.0
8041467929,2014-11-28,send_money,out,5500.0
8041467929,2014-11-28,send_money,out,250.0
8041467929,2014-11-28,send_money,out,530.0
1309607936,2015-03-28,send_money,out,2000.0
1309607936,2015-03-29,send_money,out,110.0
1309607936,2015-04-04,send_money,out,130.0
1309607936,2015-04-08,buy_mpesa_credit,in,330.0
1309607936,2015-04-17,send_money,out,1950.0
1309607936,2015-10-18,send_money,out,35.0
1309607936,2015-10-18,send_money,out,100.0
1309607936,2015-10-02,buy_mpesa_credit,in,2250.0
7289370646,2015-05-08,buy_mpesa_credit,in,2100.0
7289370646,2015-05-20,send_money,out,427.0
7289370646,2015-05-08,send_money,out,2027.0
7289370646,2015-05-14,send_money,out,1027.0
7289370646,2015-05-12,buy_mpesa_credit,in,800.0
7289370646,2015-05-22,buy_mpesa_credit,in,1200.0
7289370646,2015-05-07,buy_mpesa_credit,in,1400.0
7289370646,2015-04-25,send_money,out,7050.0
7289370646,2015-05-07,send_money,out,1527.0
7289370646,2015-05-14,buy_mpesa_credit,in,1600.0
7289370646,2015-05-14,buy_mpesa_credit,in,1950.0
7289370646,2015-04-15,send_money,out,10000.0
7289370646,2015-04-18,send_money,out,3500.0
7289370646,2015-05-23,buy_mpesa_credit,in,1500.0
7289370646,2015-05-22,send_money,out,1127.0
3778121349,2015-04-20,send_money,out,427.0
3778121349,2015-03-28,send_money,out,227.0
3778121349,2015-02-09,buy_mpesa_credit,in,300.0
3778121349,2015-01-29,send_money,out,250.0
3778121349,2015-01-27,send_money,out,530.0
3778121349,2015-04-16,send_money,out,3027.0
3778121349,2015-05-05,send_money,out,2600.0
3778121349,2015-03-27,send_money,out,400.0
3778121349,2015-02-17,send_money,out,327.0
3778121349,2015-02-28,send_money,out,1000.0
3778121349,2015-03-11,buy_mpesa_credit,in,300.0
3778121349,2015-04-12,send_money,out,327.0
3778121349,2015-02-18,send_money,out,180.0
3778121349,2015-02-09,send_money,out,280.0
3778121349,2015-02-06,send_money,out,280.0
3778121349,2015-05-24,send_money,out,3500.0
3778121349,2015-02-10,send_money,out,377.0
3778121349,2015-01-30,send_money,out,229.99999999999997
3778121349,2015-04-21,send_money,out,377.0
3778121349,2015-03-11,send_money,out,327.0
3778121349,2015-02-07,send_money,out,527.0
3778121349,2015-03-03,send_money,out,180.0
3778121349,2015-03-30,send_money,out,1027.0
3778121349,2015-01-28,buy_mpesa_credit,in,1000.0
3778121349,2015-05-21,send_money,out,727.0
3778121349,2015-03-05,send_money,out,180.0
3778121349,2015-02-11,send_money,out,227.0
3778121349,2015-01-27,send_money,out,1027.0
3778121349,2015-02-14,send_money,out,327.0
3778121349,2015-05-25,send_money,out,130.0
6425890823,2015-05-04,buy_mpesa_credit,in,400.0
6425890823,2015-05-03,buy_mpesa_credit,in,1000.0
6425890823,2010-01-01,send_money,out,500.0
6425890823,2015-05-12,buy_mpesa_credit,in,1550.0
6425890823,2015-05-12,buy_mpesa_credit,in,100.0
1121771521,2015-05-26,send_money,out,527.0
1121771521,2015-05-26,transfer_from_mshwari,in,50.0
1121771521,2015-06-09,buy_mpesa_credit,in,700.0
1121771521,2015-05-25,transfer_from_mshwari,in,1200.0
1121771521,2015-06-15,transfer_to_mshwari,out,31000.0
1121771521,2015-06-17,buy_mpesa_credit,in,4000.0
1121771521,2015-05-27,transfer_from_mshwari,in,2050.0
1121771521,2015-06-19,send_money,out,6100.0
1121771521,2015-05-17,transfer_to_mshwari,out,220.0
1121771521,2015-06-15,buy_mpesa_credit,in,31000.0
1121771521,2015-06-15,buy_mpesa_credit,in,9000.0
1121771521,2015-06-16,transfer_from_mshwari,in,2030.0
1121771521,2015-06-18,send_money,out,530.0
1121771521,2015-06-15,buy_mpesa_credit,in,15000.000000000002
1121771521,2015-05-25,transfer_to_mshwari,out,5150.0
1121771521,2015-06-16,transfer_from_mshwari,in,10200.0
1121771521,2015-06-17,transfer_from_mshwari,in,30.0
1121771521,2015-06-19,transfer_from_mshwari,in,500.0
1121771521,2015-06-16,send_money,out,1030.0
1121771521,2015-06-15,send_money,out,777.0
1121771521,2015-06-09,buy_mpesa_credit,in,500.0
1121771521,2015-05-26,transfer_from_mshwari,in,550.0
1121771521,2015-05-27,transfer_from_mshwari,in,40.0
1121771521,2015-06-17,send_money,out,2030.0
1121771521,2015-06-17,buy_mpesa_credit,in,5000.0
1121771521,2015-06-01,buy_mpesa_credit,in,50.0
1121771521,2015-05-26,transfer_from_mshwari,in,50.0
1121771521,2015-06-17,transfer_from_mshwari,in,7100.0
1121771521,2015-05-25,transfer_from_mshwari,in,1000.0
1121771521,2015-06-20,send_money,out,1030.0
2003490834,2015-04-15,send_money,out,900.0
2003490834,2015-05-29,send_money,out,517.0
2003490834,2015-04-20,send_money,out,200.0
2003490834,2015-05-27,buy_mpesa_credit,in,500.0
2003490834,2015-05-06,buy_mpesa_credit,in,1000.0
2003490834,2015-04-11,send_money,out,400.0
2003490834,2015-06-15,buy_mpesa_credit,in,500.0
2003490834,2015-05-16,send_money,out,300.0
2003490834,2015-06-06,send_money,out,4050.0
2003490834,2015-04-24,send_money,out,527.0
2003490834,2015-06-18,send_money,out,3027.0
2003490834,2015-04-17,send_money,out,1000.0
2003490834,2015-04-25,send_money,out,300.0
2003490834,2015-05-18,transfer_to_mshwari,out,1600.0
2003490834,2015-06-10,send_money,out,6500.0
2003490834,2015-05-31,send_money,out,177.0
2003490834,2015-06-16,send_money,out,6000.0
2003490834,2015-04-28,send_money,out,227.0
2003490834,2015-04-17,send_money,out,1500.0
2003490834,2015-05-07,send_money,out,4200.0
2003490834,2015-05-14,buy_mpesa_credit,in,2100.0
2003490834,2015-06-07,send_money,out,250.0
2003490834,2015-04-24,send_money,out,1027.0
2003490834,2015-06-18,send_money,out,400.0
2003490834,2015-06-01,send_money,out,150.0
2003490834,2015-04-29,send_money,out,227.0
2003490834,2015-05-05,send_money,out,227.0
2003490834,2015-06-06,send_money,out,150.0
2003490834,2015-05-19,send_money,out,427.0
2003490834,2015-04-16,buy_mpesa_credit,in,1000.0
6171176971,2015-07-25,send_money,out,530.0
6171176971,2015-07-11,send_money,out,300.0
6171176971,2015-07-14,transfer_from_mshwari,in,250.0
6171176971,2015-07-14,send_money,out,300.0
6171176971,2015-06-26,send_money,out,200.0
6171176971,2015-06-24,send_money,out,200.0
6171176971,2015-07-08,send_money,out,300.0
6171176971,2015-07-14,send_money,out,100.0
6171176971,2015-08-24,buy_mpesa_credit,in,250.0
6171176971,2015-08-16,buy_mpesa_credit,in,450.0
6171176971,2015-08-18,buy_mpesa_credit,in,500.0
6171176971,2015-08-19,buy_mpesa_credit,in,800.0
6171176971,2015-08-16,send_money,out,427.0
6171176971,2015-08-15,transfer_from_mshwari,in,
6171176971,2015-09-01,transfer_to_mshwari,out,2100.0
6171176971,2015-09-01,transfer_from_mshwari,in,2000.0
6171176971,2015-09-01,transfer_from_mshwari,in,50.0
6171176971,2015-10-03,send_money,out,150.0
6171176971,2015-10-22,buy_mpesa_credit,in,300.0
6171176971,2015-10-22,buy_mpesa_credit,in,200.0
6972053524,2015-07-26,send_money,out,350.0
6972053524,2015-07-26,transfer_from_mshwari,in,412.0
6972053524,2015-08-02,transfer_to_mshwari,out,3.0
6972053524,2015-08-20,transfer_to_mshwari,out,90.0
6972053524,2015-08-21,transfer_from_mshwari,in,90.0
6972053524,2015-08-21,send_money,out,100.0
6972053524,2015-08-21,send_money,out,4000.0
